Dataset name,Data system name,Organization/Agency,Organization Collecting or Managing,Website,Contact Name,Contact email,Contact phone,Description,Purpose,Source Dataset,Type of Data,Data collection method,Years collected,Data Storage format,Data Storage Location,Database Size,Is the dataset available to the public?,Data user / Audience,Data output format,Use Restriction Details,Type of Use Restriction,Special Request Possible,Special Request Cost,Special Request Contact Info,Metadata,Data Documentation,Metadata Format,Acquisition cost,Operations and Management Cost,FTE,Funding -%Federal,Funding: %State,Funding: %Private,Funding: %Foundation,VHCIP Priority,Is Data Related to Payment Reform,Comments,Last Updated By,VT HIT Inv: Integrated systems,VT HIT Inv: Integrated data feeds,VT HIT Inv: Divisions served,VT HIT Inv: Where is data stored
Vermont Treatment Data,Vermont Treatment Data,Department of Health (AHS) / Division of Alcohol and Drug Abuse Programs (ADAP),,http://www.healthvermont.gov/adap/clearinghouse/publications.aspx#Epi,,,,"This website contains a series of graphs on substance abuse by age, gender, county, substance",,"Core Survey on Alcohol and Drug Use
SATIS - Substance Abuse Treatment Information System
Student Assistance Program Data and Reports
Youth Risk Behavior Survey
Behavioral Risk Factor Surveillance System (BRFSS)",Population,"Population
Clinical Record",,,,,,,"Report (PDF, Word)",,,No,,,Unknown,,,,,,,,,,Low,No,,Charlie Hofmann,,,,
Hospital Report Card Web Tool,Hospital Report Card Web Tool,Department of Health (AHS) / Division of Health Surveillance,,http://healthvermont.gov/hc/hospitalreportcard/MONAHRQ/index.html,Teri Hata,teri.hata@state.vt.us,(802) 657-4209,"Using the Vermont MONAHRQ database, consumers and health care professionals can review annually updated hospital quality ratings and performance statistics.",,,"Survey
Services Provided
Financial",,,,,,,,Web Application - Restricted Access,,,,,,Unknown,,,,,,,,,,Low,,,,,,,
Lead Poisoning Reports,Lead Poisoning Reports,Department of Health (AHS) / Division of Environmental Health,,http://www.leg.state.vt.us/reports/2014ExternalReports/299340.pdf,,,," report on the status of<br />childhood lead poisoning prevention efforts in 2013 pursuant to 18 VSA §§ 1755 and 1756. This<br />annual report documents the Health Department’s efforts over the past year to prevent lead<br />poisoning in young children. It presents the latest data on the number and percentage of Vermont<br />children less than 6 years old who have been tested for lead, with a special focus on 1- and 2-<br />year-old children. Historical data on screening are also presented. In addition, the report<br />describes 2013 outreach and education activities intended to improve screening rates and<br />provides estimates of the annual public and private costs incurred in 2013 to prevent lead<br />poisoning.",,,Services Provided,Clinical Record,2005-2013,,,,,,"Report (PDF, Word)",,,No,,,Unknown,,,,,,,,,,Low,No,,Charlie Hofmann,,,,
Breastfeeding Friendly Employers,Breastfeeding Friendly Employers,Department of Health (AHS) / ,,http://healthvermont.gov/wic/food-feeding/breastfeeding/list.aspx,,,,These Vermont businesses and workplaces are actively supporting the health of its employees and their families - by making it easier to continue breastfeeding for the first year of life and beyond.,,,Employment and Wages,,,,,,"Yes, record level data available",Public,,,,No,,,Unknown,Not applicable,,,,,,,,,Low,No,,Barbara Patterson,,,,
Food and Lodging Inspection Report,Food and Lodging Inspection Report,Department of Health (AHS) / Division of Environmental Health,,http://healthvermont.gov/apps/restaurant_scores/RestaurantScores.aspx,Elisabeth Wirsing,elisabeth.wirsing@state.vt.us,,"The Vermont Department of Health Food and Lodging Program inspects and licenses restaurants, delis, seafood markets, food processors, salvage food stores, hotels, motels, inns, bakeries, school food service facilities, summer camps, and fair stands statewide. Our ultimate goal is to protect the public by preventing food-borne illness. But we also aim to educate establishment owners and operators about safe food handling practices.<br /><br />",,,Inspection,,,,,,,,Web Application - Restricted Access,,,No,,,Unknown,Full current documentation,,,,,,,,,Low,No,,Barbara Patterson,,,,
VT Licensed Health Care Professionals Data Repository,VT Licensed Health Care Professionals Data Repository,Department of Health (AHS) / ,,https://webmail.vdh.state.vt.us/CAVU/Lookup/LicenseLookup.aspx,,,,"Profiles of all health care professionals licensed, certified, or registered by the State of Vermont are available online to the public.",,,"Workforce
Survey
Licensing",Provider,,,,,,,Web Application - Restricted Access,,,,,,Unknown,,,,,,,,,,Low,,,,,,,
Vermont Young Adult Survey,Vermont Young Adult Survey,Department of Health (AHS) / ,,http://www.pire.org/documents/Vermont_PFS_Eval/VT_PFS_YAS2014_Summary_Report.pdf, Amy Livingston,alivingston@pire.org,(802) 652-4111,"The Vermont Young Adult Survey was developed by the Pacific Institute for Research and Evaluation (PIRE) for the<br />Vermont Department of Health, Division of Alcohol and Drug Abuse Programs. It is based on<br />data collected to support the evaluation of Vermont’s Partnerships for Success Grant (PFS). <br />This report highlights key findings from a recently conducted online survey of young adult<br />Vermont residents aged 18 through 25. The survey was designed to obtain baseline data<br />needed to evaluate Vermont’s Partnerships for Success initiative, a federally funded substance<br />abuse prevention grant awarded to the Vermont Department of Health by the Substance Abuse<br />and Mental Health Services Administration. ",,,"Youth
Survey",Survey,2014,,,,Aggregate data only,Public,"Report (PDF, Word)",,,No,,,Unknown,,,,,,,,,,Low,No,,Charlie Hofmann,,,,
PRAMS via CPONDER CDC query tool,PRAMS via CPONDER CDC query tool,Department of Health (AHS) / ,,http://apps.nccd.cdc.gov/cPONDER/,John Davy,,(802) 863-7661,CPONDER is a Web-based query system available from the CDC allowing to access data collected through Pregnancy Risk Assessment Monitoring System (PRAMS) surveys.  Users have the ability to design their own analysis by choosing from an indexed list of available categorical variables.  ,,,Survey,Survey,2001-Present,,,,Research data use agreement possible,Public,Web Application - Restricted Access,,,No,,,Unknown,,,,,,,,,,Low,No,,Charlie Hofmann,,,,
Employer Benefits Survey,Employer Benefits Survey,Department of Labor / ,,http://www.vtlmi.info/2013FringeBenefitStudy.pdf,Mat Barewicz,matthew.barewicz@state.vt.us,(802) 828-4153,"2013 survey.  Includes health insurance, other insurance, and other benefits (vacation, pension) by employer size. ",,,"Survey
Employee Benefits",Population,2013 (prior surveys not on line),,,,,Public,"Report (PDF, Word)",,,No,,,Unknown,,,,,,,,,,Low,No,,Charlie Hofmann,,,,
Healthy Vermonters 2020,Healthy Vermonters 2020,Department of Health (AHS) / ,,http://healthvermont.gov/hv2020/,,,,"Health Vermonters 2020<br />Updated yearly<br />Person assigned to each measure; majority are assigned to analysts<br />The performance dashboard includes the most recent population health data and information related to program performance and updated on a quarterly basis.  The ‘Maps & Trends’ pages currently show the baseline data of the Healthy Vermonter goals, and trend data for those years preceding baseline. The performance dashboard is updated on a quarterly basis with performance improvement measures.  The surveillance measures of the dashboard are updated as new data becomes available.<br /><br />The plan for updating the Maps & Trends data set is still being developed, but is expected to be updated annually.<br />",,,Population,,,,,,No,"Policymakers
Public",,,None,No,,,Unknown,,,,,,,,,,Low,,,Barbara Patterson,,,,
 Medical Assistance Provider Incentive Repository - MAPIR, Medical Assistance Provider Incentive Repository - MAPIR,Department of Vermont Health Access (DVHA) / Blueprint for Health Program,,http://hcr.vermont.gov/hit/ehrip/mapir,Casey O'Hara,casey.ohara@state.vt.us,(802) 654-8935,"The Medical Assistance Provider Incentive Repository (MAPIR) is a Web-based program administered by state Medicaid programs that allows Eligible Professionals and Eligible Hospitals to apply for Medicaid Electronic Health Record (EHR) incentive payments which can be used to defray the costs of a federally-certified EHR system. It supports the  incentive program and tracks who has met the eligibility requirements for meaningful use. MAPIR relies on a provider portal, provider data, a financial system and encounter data sources to support the processing of incentive applications.  States can obtain MAPIR at no cost and run it on their own Medicaid Management Information Systems.  Contains EHR Meaningful Use and federally-specified Clinical Quality Measure data for individual healthcare providers.<br /><br />",,,"Services Provided
Provider Information
Financial",,2011+,,,,No access to data,Practitioners (Health Care and Others),Web Application - Restricted Access,,,No,,,Unknown,Full current documentation,,,,,,,,,Low,Yes,,Barbara Patterson,,,,
MMIS,MMIS,Department of Vermont Health Access (AHS DVHA) / ,,,"Collins, Lori",lori.collins@state.vt.us,,"medicaid management information system To pay providers for services rendered to the Medicaid population<br />claims, pharmacy benefits, care management, core system for enrollment and eligibility, legacy system",,,"Coverage
Financial
Claim",Clinical Record,"In use, scheduled for retirement/replacement",,,,No access to data,,,,,No,,,Unknown,No documentation,,,,,,,,,Low,Yes,,Barbara Patterson,,,,
Pediatric Nutrition Surveillance ,Pediatric Nutrition Surveillance ,Department of Health (AHS) / Division of Health Surveillance,,http://healthvermont.gov/research/chronic/documents/2008stateVT8.pdf,,,,"The PedNSS is a child-based surveillance system that monitors the nutritional<br />status of low-income children in federally funded programs. In Vermont, the<br />Women, Infants and Children Program (WIC) population is part of this system. <br /><br />The data source is likely federal, however not much documentation about the data systems and process (Vermont data collection to federal level) exists. There is some information on WIC here: http://www.fns.usda.gov/pd/wic-program. This doesn't appear to be all the data contained in the report linked to above. It's also unclear why only 2008 data is available from Vermont.",,,"Youth
Survey
Population",,2008,,,,Aggregate data only,Public,"Report (PDF, Word)",,,No,,,Unknown,,,,,,,,,,Low,No,,Barbara Patterson,,,,
Youth Health Survey,Youth Health Survey,Department of Health (AHS) / ,,,,,,"The Department of Health, in cooperation with the Department of Education, conducted the Youth Health Survey in 2004, 2006 and 2008.",,,"Youth
Survey
Population",Survey,"2004, 2006, 2008",,,,,Public,"Report (PDF, Word)",,,No,,,Unknown,Full current documentation,,,,,,,,,Low,No,,Charlie Hofmann,,,,
Pregnancy Risk Assessment Monitoring System (PRAMS),Pregnancy Risk Assessment Monitoring System (PRAMS),Department of Health (AHS) / ,,http://healthvermont.gov/research/PRAMS/PRAMSDataBriefs.aspx#top,John Davy,,(802) 863-7661,"Vermont PRAMS, the Pregnancy Risk Assessment Monitoring System, is a project of the Centers for Disease Control and Prevention (CDC) and state health departments. PRAMS collects state-specific, population-based data on maternal attitudes and experiences before, during, and shortly after pregnancy. The data are collected via surveys mailed to a random sample of Vermont mothers 2-6 months after they have given birth.   Vermont PRAMS began collecting data in 2001.",,,"Survey
Population",Survey,2001 - 2015,,,,Aggregate data only,,"Report (PDF, Word)",,,No,,,Unknown,,,,,,,,,,Low,No,,Charlie Hofmann,,,,
Consumer Assessment of Healthcare Providers and Systems (CAHPS),Consumer Assessment of Healthcare Providers and Systems (CAHPS),UVM’s Vermont Child Health Improvement Program (VCHIP) / ,,https://cahps.ahrq.gov/,,,,There are a variety of surveys under CAHPS - these surveys  ask consumers and patients to report on and evaluate their experiences with health care.,,,Survey,Survey,"20,122,103",,,,,,,,,,,,Unknown,,,,,,,,,,Low,,,,,,,
Adult Tobacco Survey,Adult Tobacco Survey,Department of Health (AHS) / Division of Health Surveillance,,http://healthvermont.gov/research/index.aspx#ats,Rhonda Williams,,,"The Vermont Adult Tobacco Survey (ATS) is a telephone survey conducted over an eight<br />week period during the fall of the calendar year. The sample includes 2,000 respondents each<br />year: 1,000 each of smokers and non-smokers regardless of telephone type. Beginning in 2008, the survey has been conducted biannually in even years and includes cell phone users. The survey takes approximately 20 minutes to complete.",,,"Survey
Population",Survey,"Annually from 2000 - 2008; 2010, 2012",,,,,,"Report (PDF, Word)",,"Agency restriction, HIPPA",No,,,Unknown,,,,,,,,,,Low,No,,Charlie Hofmann,,,,
